id,name,main_artist,key,mode,time_signature,duration_ms_x,danceability,loudness,energy,instrumentalness,liveness,valence,speechiness,tempo,popularity,youtube_views
4uaZ97JqhxxAuiboibR3RI,Ya rayah,Cheikh el Hasnaoui,2,0,4,277253,0.68,-7.925,0.546,0.0,0.0807,0.91,0.0341,102.8,35,9365
31fktB22Ql5zBbyEG3a9bb,Ach eddani n' khaltou,Dahmane El Harrachi,3,0,4,347640,0.648,-9.749,0.456,1.61e-06,0.149,0.757,0.0466,108.083,32,295141
1RAsVBpsdrKhRz8I2XkTLm,Ya rayeh,El Hachemi Guerouabi,2,1,4,184826,0.656,-2.521,0.819,0.0,0.408,0.85,0.0382,102.714,30,1654
1RAsVBpsdrKhRz8I2XkTLm,Ya rayeh,El Hachemi Guerouabi,2,1,4,184826,0.656,-2.521,0.819,0.0,0.408,0.85,0.0382,102.714,30,1654
1RAsVBpsdrKhRz8I2XkTLm,Ya rayeh,El Hachemi Guerouabi,2,1,4,184826,0.656,-2.521,0.819,0.0,0.408,0.85,0.0382,102.714,30,1654
1RAsVBpsdrKhRz8I2XkTLm,Ya rayeh,Dahmane El Harrachi,2,1,4,184826,0.656,-2.521,0.819,0.0,0.408,0.85,0.0382,102.714,30,233249
1RAsVBpsdrKhRz8I2XkTLm,Ya rayeh,Dahmane El Harrachi,2,1,4,184826,0.656,-2.521,0.819,0.0,0.408,0.85,0.0382,102.714,30,233249
1RAsVBpsdrKhRz8I2XkTLm,Ya rayeh,Dahmane El Harrachi,2,1,4,184826,0.656,-2.521,0.819,0.0,0.408,0.85,0.0382,102.714,30,233249
1RAsVBpsdrKhRz8I2XkTLm,Ya rayeh,Kamel Messaoudi,2,1,4,184826,0.656,-2.521,0.819,0.0,0.408,0.85,0.0382,102.714,30,265055
1RAsVBpsdrKhRz8I2XkTLm,Ya rayeh,Kamel Messaoudi,2,1,4,184826,0.656,-2.521,0.819,0.0,0.408,0.85,0.0382,102.714,30,265055
1RAsVBpsdrKhRz8I2XkTLm,Ya rayeh,Kamel Messaoudi,2,1,4,184826,0.656,-2.521,0.819,0.0,0.408,0.85,0.0382,102.714,30,265055
4GB1jiCyUr6Yk0SYiBkSMW,Bahdja beida,Dahmane El Harrachi,11,0,4,355386,0.647,-6.499,0.486,0.0,0.14,0.693,0.0377,101.428,29,523101
6GX8AWnBuGmOgAmVtmOjmd,Goulou leness,El Hachemi Guerouabi,2,1,4,341000,0.497,-7.376,0.647,9.49e-05,0.268,0.833,0.0546,110.744,28,1028
1oyAoj6SoSuribGdA3kDH6,Ch'hilet laayani,Kamel Messaoudi,2,0,4,471920,0.48,-5.632,0.756,0.187,0.0942,0.699,0.0421,107.891,27,404675
6lavi3YJV4ft6nsORouAqu,Ya Hasra Alik Ya Denia,Kamel Messaoudi,6,0,3,543921,0.552,-6.078,0.707,3.35e-05,0.342,0.744,0.0286,136.445,27,734194
173qO9gnb3EWQdgPR8zuP0,Chehilet laayani,Abdelkader Chaou,0,1,4,594686,0.344,-7.271,0.75,0.153,0.253,0.969,0.038,100.75,26,4534358
1swIzAcBswSgU4YPTrsXwC,Ya ghorbati fi blade ennass,Kamel Messaoudi,4,0,4,453306,0.475,-8.999,0.537,0.702,0.263,0.629,0.0471,119.319,26,37593
6vxquO38zO4o40VYFAxhbk,El haraz,Amar Ezzahi,2,1,4,1060337,0.722,-6.0,0.634,0.0,0.0728,0.821,0.0639,128.633,24,8591612
6qZp0DmrNKgHrH5XOzLMRq,Sir anaker lehssane,Dahmane El Harrachi,2,1,3,308098,0.388,-5.548,0.694,0.000238,0.185,0.721,0.0351,75.698,23,1892982
6qZp0DmrNKgHrH5XOzLMRq,Sir anaker lehssane,Dahmane El Harrachi,2,1,3,308098,0.388,-5.548,0.694,0.000238,0.185,0.721,0.0351,75.698,23,1892982
6qZp0DmrNKgHrH5XOzLMRq,Sir anaker lehssane,Dahmane El Harrachi,2,1,3,308098,0.388,-5.548,0.694,0.000238,0.185,0.721,0.0351,75.698,23,1892982
6qZp0DmrNKgHrH5XOzLMRq,Sir anaker lehssane,El Hachemi Guerouabi,2,1,3,308098,0.388,-5.548,0.694,0.000238,0.185,0.721,0.0351,75.698,23,158566
6qZp0DmrNKgHrH5XOzLMRq,Sir anaker lehssane,Kamel Messaoudi,2,1,3,308098,0.388,-5.548,0.694,0.000238,0.185,0.721,0.0351,75.698,23,505
6qZp0DmrNKgHrH5XOzLMRq,Sir anaker lehssane,El Hachemi Guerouabi,2,1,3,308098,0.388,-5.548,0.694,0.000238,0.185,0.721,0.0351,75.698,23,158566
6qZp0DmrNKgHrH5XOzLMRq,Sir anaker lehssane,El Hachemi Guerouabi,2,1,3,308098,0.388,-5.548,0.694,0.000238,0.185,0.721,0.0351,75.698,23,158566
0OgCjKckhCJ8Y9mZnldnf7,Inatas ma dias,Cheikh el Hasnaoui,11,0,4,317680,0.476,-6.14,0.633,0.4,0.221,0.694,0.0995,102.923,23,65599
6pbxhzPoUNUYVTuSWPe4Rn,Ya noudjoum ellile,Cheikh el Hasnaoui,3,0,3,380880,0.421,-9.448,0.583,3.71e-06,0.135,0.895,0.0566,169.691,23,705766
6qZp0DmrNKgHrH5XOzLMRq,Sir anaker lehssane,Kamel Messaoudi,2,1,3,308098,0.388,-5.548,0.694,0.000238,0.185,0.721,0.0351,75.698,23,505
6qZp0DmrNKgHrH5XOzLMRq,Sir anaker lehssane,Kamel Messaoudi,2,1,3,308098,0.388,-5.548,0.694,0.000238,0.185,0.721,0.0351,75.698,23,505
3n0rpDP1ITAOqtbtPz1fPL,Rahou mqadar,Kamel Messaoudi,11,0,4,338306,0.437,-4.962,0.686,3.36e-05,0.183,0.822,0.0295,140.203,22,52805
7azw7gYqbpGhd7zPQCJS6N,Maknin ezine / Hada el khatem - Enchainer,Amar Ezzahi,2,0,4,1100368,0.326,-14.518,0.441,0.439,0.682,0.645,0.0701,65.128,22,241
3n0rpDP1ITAOqtbtPz1fPL,Rahou mqadar,Dahmane El Harrachi,11,0,4,338306,0.437,-4.962,0.686,3.36e-05,0.183,0.822,0.0295,140.203,22,1892982
3n0rpDP1ITAOqtbtPz1fPL,Rahou mqadar,El Hachemi Guerouabi,11,0,4,338306,0.437,-4.962,0.686,3.36e-05,0.183,0.822,0.0295,140.203,22,335
3n0rpDP1ITAOqtbtPz1fPL,Rahou mqadar,Kamel Messaoudi,11,0,4,338306,0.437,-4.962,0.686,3.36e-05,0.183,0.822,0.0295,140.203,22,52805
3n0rpDP1ITAOqtbtPz1fPL,Rahou mqadar,Kamel Messaoudi,11,0,4,338306,0.437,-4.962,0.686,3.36e-05,0.183,0.822,0.0295,140.203,22,52805
3n0rpDP1ITAOqtbtPz1fPL,Rahou mqadar,Dahmane El Harrachi,11,0,4,338306,0.437,-4.962,0.686,3.36e-05,0.183,0.822,0.0295,140.203,22,1892982
3n0rpDP1ITAOqtbtPz1fPL,Rahou mqadar,El Hachemi Guerouabi,11,0,4,338306,0.437,-4.962,0.686,3.36e-05,0.183,0.822,0.0295,140.203,22,335
3n0rpDP1ITAOqtbtPz1fPL,Rahou mqadar,Dahmane El Harrachi,11,0,4,338306,0.437,-4.962,0.686,3.36e-05,0.183,0.822,0.0295,140.203,22,1892982
3d2mSoapcRpUiGA2Tw6yde,Rah el ghali rah,Kamel Messaoudi,2,0,4,477447,0.406,-4.72,0.662,0.000832,0.123,0.418,0.0372,147.357,22,169653
3n0rpDP1ITAOqtbtPz1fPL,Rahou mqadar,El Hachemi Guerouabi,11,0,4,338306,0.437,-4.962,0.686,3.36e-05,0.183,0.822,0.0295,140.203,22,335
