,id,name,main_artist,key,mode,time_signature,duration_ms_x,danceability,loudness,energy,instrumentalness,liveness,valence,speechiness,tempo,popularity,youtube_views,last_fm_playcount,last_fm_listeners
1689,4LUXh5v2flIFMI0lKB19eA,حرام ناسي,Cheb Hasni,8,1,4,297800,0.431,-3.427,0.801,3.79e-05,0.163,0.261,0.037,154.16,2,462,5,5
1248,1eo1ciKu6C2iNKwqAtYLSk,درتيها أو غيتي تسامهي,Cheb Hasni,6,1,3,272788,0.485,-6.023,0.832,0.0,0.0867,0.953,0.0425,150.181,3,1568029,0,0
574,7cNCj6cVxfQgLsT7K9B7t0,Manakdarche,Cheb Hasni,7,0,3,345720,0.574,-7.032,0.619,9.86e-05,0.134,0.947,0.038,157.038,8,2378938,35,14
813,7uw3LYNeUaCr2q6GBURhzl,نهار ليبراك بكيتي,Cheb Hasni,5,0,3,342400,0.428,-3.319,0.82,0.0,0.11,0.739,0.0391,128.571,6,757,30,16
1957,4ZkbU6uDpce2KYh51MGa43,ماني ماني,Cheb Hasni,8,1,4,337826,0.456,-3.842,0.741,7.11e-06,0.123,0.821,0.299,183.85,1,243746,13,10
643,7DZmJIecaf9hvhfAxfbKUP,Ya ma,Cheb Hasni,7,0,4,282880,0.655,-2.75,0.815,0.0,0.316,0.751,0.0315,147.052,7,4618090,175,59
1252,2Fh3cF58nFT3o7V367Zf6g,Mansitha ma rahet men bali,Cheb Hasni,0,0,4,350200,0.368,-16.016,0.482,0.0117,0.279,0.673,0.0987,96.638,3,810144,232,82
1523,5235Ywi5ImTMpdpNQ0JKDg,Ayite njareb,Cheb Hasni,0,0,4,323160,0.565,-8.554,0.82,3.02e-05,0.0574,0.896,0.0369,172.222,2,1091242,76,18
1242,6nzFbs05tQOExbKssHdi7D,Rani khalite amana,Cheb Hasni,1,1,4,345546,0.762,-13.748,0.5,1.97e-05,0.0391,0.886,0.239,177.426,3,286573,3550,1729
790,3lp1NxPEfQrpoNEYfIQxXk,Gualou hasni met,Cheb Hasni,1,1,4,396813,0.701,-7.131,0.531,2.33e-05,0.121,0.48,0.0274,136.755,6,4484745,1745,486
1740,13JqGYy7a9KEStdp7olYEM,Mouhal nesbor ala oueldi,Cheb Hasni,10,0,4,163386,0.692,-3.604,0.936,0.000485,0.346,0.953,0.0884,172.069,1,144999,12,5
