id,name,main_artist,duration_ms_x,explicit,danceability,loudness,energy,instrumentalness,liveness,valence,speechiness,tempo,popularity
1Ld7ou1JXz77rg70AG7usC,El Walida,Kader Japonais,252000,False,0.611,-8.611,0.743,0.0,0.111,0.541,0.0833,79.996,56
1mhKtcpIVEwvE7qs32HcwI,Manich Kima Bakri,Cheb Bello,345652,False,0.705,-4.308,0.894,4.5e-06,0.0725,0.89,0.095,96.066,47
1Z3UznHCGkclMLMOBRxeHN,3adyani Bel Gros - Remix Master T,Cheb Bello,226811,False,0.672,-6.673,0.787,0.543,0.206,0.594,0.0452,91.992,47
4KuO9X4amlOVQwsU2DRONy,Di Ayza Kalem,Cheb Bilal,351173,False,0.452,-7.722,0.881,0.00523,0.0453,0.97,0.0895,110.371,45
4dWR4PFw9WbkUrTmLmdeDB,Bienvenue chez les bylkas,Cheb Bilal,242533,False,0.627,-4.176,0.869,0.0,0.661,0.885,0.227,98.662,45
25MuzemzYte78t3ZIzM2jk,Malou Malou,Kader Japonais,164192,False,0.655,-6.014,0.727,2.13e-05,0.137,0.372,0.0666,100.21,45
7sf1LeMpsZ5YLcOPaDk8df,Frontières,Cheb Bello,204280,False,0.782,-3.846,0.857,0.0,0.357,0.523,0.0422,107.998,44
6MgCPtlAvhgdu7nHHdHwAT,Vida Loca,Cheb Bilal,250212,False,0.616,-6.519,0.807,0.0,0.366,0.882,0.0371,94.018,44
469RutojU2gIHm1bZvPKdp,Nti Sbabi,Kader Japonais,254491,False,0.469,-5.047,0.886,0.0,0.106,0.628,0.171,176.154,44
6qlZjH5bLf6w6XvfpYxsPx,Mamamiya,Kader Japonais,229813,False,0.569,-5.111,0.992,0.0537,0.395,0.558,0.0771,144.924,44
7kIE6D8Mo1ai8nz7zdk8u8,Wayli Wayli,Cheb Bilal,320533,False,0.547,-9.015,0.791,0.00032,0.063,0.557,0.0483,105.388,43
0GDjF1aq0W3hZN9whZtcmw,Al Hachwa Hachwa,Cheb Bello,315715,False,0.638,-5.637,0.883,9.67e-06,0.0814,0.965,0.0423,89.898,43
5vEgNT2ZXZrk9ytIguXx2y,Good Bye,Cheb Bello,374909,False,0.65,-4.223,0.91,0.0,0.107,0.967,0.0451,93.961,42
0e2VRZjl7q0upclM58AQhR,Hatmatek Eddenia,Kader Japonais,327724,False,0.596,-3.706,0.916,0.0,0.323,0.767,0.256,144.9,41
1QcJ7OsYeuhFsCzKyy1j4L,Twahachtek Omri,Kader Japonais,278100,False,0.577,-4.515,0.823,0.0,0.0919,0.462,0.0694,152.068,41
5PEdfV2WSVKIywE2dTgPQF,Bagi Nwali Milliardaire,Cheb Bello,264554,False,0.509,-4.966,0.944,3.31e-06,0.439,0.867,0.0602,107.855,41
5YN2ZxdXmXdHjAe7SCLldm,Chriki,Cheb Bilal,184106,False,0.82,-5.932,0.878,1.49e-06,0.324,0.894,0.113,139.96,40
53jIJkxsMot3n7Reolf6QO,Maghboun Wahdi,Cheb Djalil,207585,False,0.653,-4.696,0.823,0.0,0.195,0.76,0.0544,95.973,40
26kP9G25zYxuM0KrvzcszV,Mamnou3,Cheb Bello,347924,False,0.584,-4.615,0.956,1.93e-06,0.357,0.817,0.107,91.981,39
3y3zXTlPWBQBX5XlFX4gDu,Kissat Gharam,Bilal Sghir,291474,False,0.616,-13.402,0.446,0.0,0.097,0.664,0.0741,168.105,39
5bdHXG0gLmikAaITS5d2zl,Romantique,Cheb Bilal,285753,False,0.393,-4.533,0.756,2.66e-06,0.0978,0.831,0.0818,83.907,38
79VfwCmLalH8JqvhhaYgDz,Nti Machi Histoire,Kader Japonais,241304,False,0.683,-6.789,0.877,0.000227,0.159,0.546,0.0892,92.031,38
53srYeUEKA5rplVgSWhnRP,Ma Tzawjet Ma Walet,Cheb Djalil,432927,False,0.519,-5.564,0.836,0.0,0.0699,0.772,0.0652,91.956,38
0x20LfiY19QyziXACgFgKD,Jitini Retard,Cheb Djalil,264934,False,0.461,-5.303,0.838,0.0,0.147,0.782,0.115,184.037,38
23xPuVoZyyMIxCoRZIQuSr,Même pas appel,Cheb Bilal,239368,False,0.649,-4.52,0.838,0.0,0.2,0.658,0.0386,142.477,38
