id,name,main_artist,key,mode,time_signature,duration_ms_x,danceability,loudness,energy,instrumentalness,liveness,valence,speechiness,tempo,popularity,last_fm_playcount,last_fm_listeners
0HWqu8kIr5iitYHd62RkJH,Jwabi,Didine Canon 16,10,1,4,262000,0.729,-10.621,0.558,3.91e-06,0.274,0.579,0.119,99.982,57,655,146
06eEMrvlkBmLLaezDSDcEl,A Vava Inouva,Idir,4,0,4,266760,0.716,-19.576,0.21,0.0123,0.0837,0.432,0.0395,111.908,50,48993,11941
4Qk4c7KVRPxESJq5YWJ2qi,Zen9aoui,Didine Canon 16,4,0,4,206400,0.649,-7.172,0.69,0.0,0.151,0.5,0.112,100.018,46,0,0
5xhz6CQejKPhHPZc5Qtw2l,Yumi,Didine Canon 16,9,0,4,210000,0.771,-9.245,0.72,0.0,0.12,0.9,0.0969,157.027,45,103,23
5xxOFmeIWIYHDYvhGwsVEV,Madi,Didine Canon 16,7,0,4,258000,0.758,-13.578,0.506,0.0,0.107,0.574,0.102,103.991,43,26,10
2TbZa9VbUYfzaEd2Rz2puA,Fast Life,Didine Canon 16,11,0,4,212000,0.804,-10.145,0.511,6.57e-05,0.137,0.717,0.309,153.888,42,75,14
62XbDU9C904nhFkcjFXnEQ,Valhalla,Didine Canon 16,4,0,4,236288,0.607,-6.269,0.688,0.0,0.483,0.435,0.103,97.018,42,119,31
7i5p4uc8llwquMLS2dt1I1,2X4,Didine Canon 16,6,1,4,156000,0.894,-10.721,0.378,0.0,0.139,0.45,0.435,99.983,41,37,4
3psIwGjjnAVROqTxWJtwq7,"Akhtini, Vol. 2",Didine Canon 16,2,0,4,219374,0.87,-6.834,0.851,0.000296,0.0624,0.808,0.15,128.069,40,18,11
0DJbRxXvGgwHwQekxq8S1h,Ktab Laghram,Didine Canon 16,4,0,3,213750,0.506,-8.895,0.637,0.0,0.0731,0.494,0.134,83.511,39,59,31
2gd2frSoa6nYPaCdwIyM1K,Chitana,Didine Canon 16,6,1,4,190000,0.755,-11.126,0.766,0.0,0.0805,0.799,0.257,96.851,39,18,10
77vIER4KhZTRIUXRvHZDFX,Adrar inu - Ma montagne,Idir,7,1,3,150706,0.584,-10.9,0.496,0.00745,0.173,0.77,0.0283,151.566,39,4241,1395
1xaJjWWK77tSq60RaC56Jt,Babour Ellouh,Didine Canon 16,2,1,4,198750,0.659,-7.68,0.657,0.0,0.0941,0.203,0.046,160.024,39,53,22
