id,name,main_artist,key,mode,time_signature,duration_ms_x,danceability,loudness,energy,instrumentalness,liveness,valence,speechiness,tempo,popularity,youtube_views,last_fm_playcount,last_fm_listeners
1mhKtcpIVEwvE7qs32HcwI,Manich Kima Bakri,Cheb Bello,0,1,4,345652,0.705,-4.308,0.894,4.5e-06,0.0725,0.89,0.095,96.066,47,83930396,1279,290
1BafXAUyBP7TNagz0L8A4n,Nos couleurs (feat. K Maro),Cheb Mami,7,0,4,191680,0.883,-3.733,0.859,0.0,0.195,0.908,0.0718,122.035,45,793850,2689,825
049ryvt09w98K1uzsWf9x1,Frontières,Cheb Bello,1,0,4,209913,0.786,-3.735,0.863,2.7e-06,0.25,0.455,0.0403,106.977,44,12393047,0,0
6qlZjH5bLf6w6XvfpYxsPx,Mamamiya,Kader Japonais,9,0,4,229813,0.569,-5.111,0.992,0.0537,0.395,0.558,0.0771,144.924,44,7568472,797,187
2qQtnq8Czi8ZW9SGemOVF3,Halili (feat. Zaho),Cheb Mami,1,0,4,247453,0.63,-3.895,0.809,0.0,0.132,0.92,0.0384,92.023,44,4731248,4441,1031
469RutojU2gIHm1bZvPKdp,Nti Sbabi,Kader Japonais,1,0,4,254491,0.469,-5.047,0.886,0.0,0.106,0.628,0.171,176.154,43,99344859,1005,222
0GDjF1aq0W3hZN9whZtcmw,Al Hachwa Hachwa,Cheb Bello,4,1,4,315715,0.638,-5.637,0.883,9.67e-06,0.0814,0.965,0.0423,89.898,42,50406176,155,27
1ANh0Pyrr6axtL5PhoRqPh,Khatira Khatira,Cheb Houssem,2,0,4,582293,0.554,-7.417,0.826,0.00271,0.12,0.873,0.0442,91.954,42,1125538,1121,243
5BaSu9ES2R8LIYxAZBTqQA,على رواحنا منكذبوش,Cheb Houssem,5,0,4,260522,0.671,-6.987,0.79,8.82e-06,0.261,0.96,0.0396,172.104,39,8678262,100,58
0x20LfiY19QyziXACgFgKD,Jitini Retard,Cheb Djalil,1,0,4,264934,0.461,-5.303,0.838,0.0,0.147,0.782,0.115,184.037,37,65798432,282,73
6Mgyd5vTf0bLdiRKee4R1B,Darja darja,Cheb Bilal,10,0,3,350449,0.779,-18.959,0.303,0.00087,0.0649,0.966,0.0653,154.088,36,7559548,1164,655
6MpEiDHUqReT8ypjWPTIjW,Fi Aachkek Cheft El Wile,Kader Japonais,5,1,4,307333,0.597,-5.682,0.671,0.0,0.121,0.341,0.0436,150.08,36,39646428,335,136
61Oa666U7hHDfbeQoAIaww,Rouhi Raki Msamha,Cheb Houssem,6,1,4,270000,0.584,-7.666,0.783,0.0,0.14,0.699,0.294,179.969,36,8691580,180,48
7ChapiJN4UABm7B5kHIR25,Merci Beaucoup,Cheb Houssem,6,0,4,211764,0.588,-4.988,0.772,0.0,0.159,0.814,0.0393,169.98,36,15190472,145,62
34sa2gQoGMkU75hPz54WBZ,Yghirou Yghirou,Cheb Bello,7,0,4,272207,0.755,-5.643,0.84,0.0,0.161,0.914,0.0463,91.954,35,9671834,41,9
7m4QCz115EDdiOPbzGroIb,Nti Galb,Bilal Sghir,0,1,4,297693,0.678,-6.36,0.812,0.0,0.387,0.966,0.101,86.994,35,34076903,243,76
5ykL3LdQ7Ls8T2Ii2YMmfG,Chira brune,Cheb Mourad,3,0,4,532533,0.652,-9.965,0.657,8.03e-06,0.196,0.886,0.0379,93.999,34,1791,25,7
2QoGEqNS7o0J5z9O0urpNX,Matahagrouche Lewliya,Bilal Sghir,9,0,4,389150,0.675,-3.89,0.942,0.0,0.289,0.86,0.0632,89.94,34,3722714,7,5
1yo6d2mGHC3D2nNlUldocN,Yamina,Khaled,8,1,4,369039,0.776,-14.243,0.595,2.01e-05,0.0487,0.96,0.0423,94.783,34,2719455,4357,1588
5kyFwSinb4OuGHGruyRSct,Ana naachak ana ndalak,Cheb Houssem,7,0,4,756323,0.586,-5.625,0.863,2.13e-05,0.33,0.809,0.0796,94.261,33,1294688,214,62
3WyN9BhcoI6eg6Uh8MBaxK,Rahoum Y'goulou,Bilal Sghir,6,1,4,382757,0.597,-7.058,0.804,0.0,0.114,0.715,0.095,86.093,33,7290483,74,30
4ySr4rg9X0xzINLADM8kG7,Abla aliya,Cheb Hasni,11,1,3,344720,0.52,-11.206,0.563,0.0817,0.0495,0.929,0.0945,82.185,33,1094,119,55
6ORYmX0WdtHkAYQ5GQtm3X,Ya mina,Khaled,8,1,4,359600,0.784,-12.22,0.677,7.41e-06,0.0537,0.926,0.041,94.843,33,7520251,1459,657
7KdE8J2p4WqW0yWmBYvXb6,Ya Ouahrane Rouhi,Khaled,7,0,4,269903,0.685,-9.201,0.493,3.4e-06,0.107,0.785,0.0477,104.419,32,2845,897,319
5tBx6z1SEMvaO8vzWZzscQ,Hna kima hak,Cheb Bilal,1,0,4,270380,0.471,-12.585,0.61,0.000181,0.137,0.895,0.0518,138.228,32,14864087,214,62
5nWCdJ8yxaMvozXCrN4Ovs,Li Yaaref Dorri,Cheb Djalil,8,0,4,247925,0.664,-4.696,0.878,0.0,0.326,0.94,0.0359,94.022,31,11339181,118,46
4oPwHrcH1bhl2lOqNobnCY,3inehom Mesawsa,Cheb Bello,1,0,4,230817,0.645,-5.782,0.836,0.0,0.101,0.948,0.0778,95.895,31,21145990,61,13
0IiDI1jF6bmERRxsaPNyAe,ها قلبي ها قلبي يناسبها المكان,Cheb Mourad,5,0,4,354226,0.663,-3.409,0.902,0.000323,0.249,0.912,0.0424,93.966,31,21741438,27,10
51LVU7Mo03RjULFVzb8agq,Ana malit,Cheb Hasni,11,0,4,310800,0.674,-6.903,0.491,0.00211,0.138,0.501,0.0327,153.685,30,161440,102,49
37mRDrNeFPfO73oVn4hjUb,داك المحكوم,Cheb Hasni,7,1,3,364893,0.433,-3.859,0.836,0.000109,0.0759,0.892,0.112,176.9,30,1459,115,27
0whzgqpiCbi1IM4l7Gzpof,Je te quitte,Cheba Dalila,7,0,4,348891,0.468,-4.417,0.815,0.0,0.127,0.432,0.0948,171.953,30,17697347,147,60
7ta0S4V2m8ap7SUoS9crL4,Omri omri,Cheb Hasni,1,1,4,358280,0.351,-2.648,0.873,0.0,0.156,0.777,0.0509,159.591,30,453289,369,121
6wMBzbhfXchwjt65PSEowh,Aalach et loumouny,Cheb Hasni,6,0,4,337826,0.57,-15.486,0.398,0.0204,0.0606,0.619,0.0484,91.885,30,74,45,25
0zUzOzbiI0eAQA8JfdR8K3,Mazel el hal ghir weli,Cheb Hasni,0,0,3,275000,0.735,-12.166,0.582,7.26e-06,0.274,0.955,0.0351,136.268,30,85015,255,70
7K3VtwW8OF7R1P2Pb1IDLs,Manjemeche niche rani mride,Cheb Hasni,8,0,3,338000,0.379,-6.535,0.669,0.0,0.12,0.945,0.0548,84.19,29,472,51,23
5sP4RV5nn7SKxS8ui8FiXS,Niveaux tah,Cheb Bilal,1,1,4,322640,0.676,-5.639,0.842,0.000394,0.0999,0.594,0.05,110.018,29,1359524,86,43
0sArBZMNEdXNHb1E9cIDoU,N'TA GOUDAMI,Cheikha Rimitti,10,0,4,445680,0.687,-7.057,0.904,1.78e-06,0.0808,0.89,0.0573,96.022,29,6095877,1383,585
4iMNX4JdmMU21mQvje8M76,Gualbi Gualbi,Cheb Mami,8,1,4,315400,0.493,-3.445,0.861,2.75e-05,0.0813,0.707,0.112,89.61,29,2037967,3636,1395
5HVqIYDfNlhBFpV86gLiW9,Tabaatek ya darari,Cheb Hasni,6,0,4,321306,0.608,-7.691,0.527,0.00176,0.108,0.768,0.0339,148.733,29,431,89,47
2CdDTMeJckJ2h6K6ryZK5Y,Te quiero,Cheb Bilal,11,0,4,344497,0.694,-4.056,0.887,2.39e-05,0.0763,0.85,0.0396,93.987,29,1706283,181,49
3LxPrhfqwsdvvGNg4UG9XJ,Nssat l'histoire,Cheb Hasni,5,0,4,344293,0.675,-6.526,0.618,0.00839,0.0958,0.591,0.0509,168.912,29,76061,120,61
4ABI8BOgEZXGLEEK9u2VTJ,Fort ou waara,Cheb Bilal,4,0,4,352706,0.766,-7.672,0.725,0.0,0.712,0.805,0.0365,110.923,29,89123,35,27
4U19IrqTfOfDC6O5n3iDRv,Yali galbi mak,Cheb Hasni,0,0,3,350253,0.799,-14.463,0.467,1.78e-05,0.0919,0.936,0.0473,135.372,28,98971,161,74
3vDd2L0wewUZr0XRuAIyq9,Batch bedeltini,Cheb Hasni,10,0,4,330840,0.655,-9.567,0.726,0.000381,0.173,0.839,0.0533,173.744,28,103,58,23
14gip84rO9DqSGEgE9iCbZ,Rani M3amar Rani Mdamar,Cheb Bello,6,0,4,369045,0.696,-8.346,0.887,0.0155,0.262,0.963,0.0468,89.991,28,60257,0,0
0RIglQG44g2DfAoajU3ccf,Gualbi mayensakche,Cheb Hasni,9,0,4,343000,0.682,-10.08,0.629,0.000165,0.176,0.893,0.0326,139.56,28,345,58,28
30t7eW6fy4dgfvkoJvxrsC,Laaziza,Cheb Hasni,0,0,4,329000,0.628,-13.09,0.644,9.14e-06,0.0828,0.938,0.0354,174.703,28,8747396,114,24
5nWd3IE63hxCbJgcKdZNAe,Je m'en fous,Cheb Bilal,7,1,4,365106,0.772,-8.168,0.722,0.0,0.963,0.773,0.0718,111.987,28,2409529,52,37
0cbYJMob7mOzxorWHH8A02,Kharjouha B Zgharit,Cheb Bello,11,0,4,297071,0.592,-5.113,0.914,0.0,0.111,0.926,0.123,89.951,27,7769413,1,1
4T7F30aUNEILL5RumhT3hm,Khali Ya Khali,Cheb Bello,0,0,4,325537,0.564,-3.847,0.941,0.0,0.275,0.932,0.118,89.886,27,41607753,265,69
20xxsRXogL4MQSZqm7NZDh,علابالي قلبك حنين,Cheb Djalil,3,0,4,364477,0.525,-5.921,0.828,0.0,0.123,0.885,0.0962,179.635,27,7333239,2,2
7jYNjHnSfO7wLBYmwusnRt,Bya Dak El Mor,Khaled,1,1,4,420719,0.595,-12.272,0.532,9.98e-06,0.0404,0.755,0.0813,193.459,27,306492,155,39
1Tfhd64B3RmSHGzg8fhXpY,Gaa neterou gaa,Cheb Bilal,0,1,4,337443,0.482,-6.133,0.889,1.5e-06,0.35,0.714,0.252,141.958,27,1017682,20,15
4Npla7zr6codWmh0LMXJbX,خلوني نبكي,Cheb Hasni,5,0,4,301640,0.737,-12.469,0.595,1.32e-06,0.207,0.888,0.033,95.786,27,1104165,112,21
5DHTBBlS0gVdB3ulbbKMRw,Spera Spera,Bilal Sghir,1,0,4,331986,0.638,-3.813,0.906,0.0,0.207,0.963,0.0467,90.085,27,1750064,33,12
1lFxrpQJt0Z1Pe8cQzMEvt,Bent colonel,Cheb Mami,0,0,3,342986,0.715,-3.322,0.777,5.52e-06,0.0828,0.675,0.0478,165.223,27,99204,710,269
7d2IaKXej1Wd76ee79UsV8,Bakri,Cheb Bilal,10,0,4,391452,0.676,-5.006,0.968,1.37e-05,0.276,0.961,0.0442,96.009,27,5186730,13,11
3m3XDOkxvJQKf5i0M9WLfF,Saroukh Wela Lamoda,Cheb Bello,11,1,4,216816,0.711,-6.76,0.939,9.19e-05,0.375,0.883,0.0732,92.016,27,54314,5,3
6Tmr86H6QGzCT9moSTt6fK,Yeferhou li kisterali haja waara,Cheb Bilal,10,0,4,285293,0.447,-9.821,0.586,0.00495,0.375,0.803,0.0754,107.982,27,363,19,11
20Y76NnPPYqQ6WSp4blzQ9,Soukane el batima,Cheb Bilal,6,0,4,347960,0.679,-6.674,0.72,0.00947,0.172,0.554,0.042,103.018,27,1969,65,39
7v2iAddxQPwHspcgJbrE41,Yghirou Yghirou,Cheb Bello,7,0,4,272207,0.756,-5.456,0.846,0.0,0.172,0.901,0.0444,91.956,26,9671834,41,9
6rMbyEBRVF2vFJZEtmrfok,Ghentini ya denya,Cheb Bilal,10,0,4,330626,0.642,-6.717,0.753,0.0,0.135,0.666,0.0367,99.959,26,3854529,19,13
5SEJ5vZRXERpf7YNePBN3W,Hograte n'ssa ouara,Cheb Bilal,3,0,4,287306,0.684,-6.163,0.865,0.00123,0.19,0.896,0.0372,125.982,26,263,20,14
4IVTB9HNQAJZxWgWyJUW3I,El kes,Cheb Bilal,1,1,4,203760,0.743,-10.525,0.689,0.0,0.216,0.943,0.0718,120.024,26,96822,176,76
4IVTB9HNQAJZxWgWyJUW3I,El kes,Cheb Bilal,1,1,4,203760,0.743,-10.525,0.689,0.0,0.216,0.943,0.0718,120.024,26,96822,176,76
0ucClfFl21t7ZwQjgwTJZ4,Khalata Fa9o Bik,Cheb Bello,11,0,4,385880,0.568,-5.194,0.956,0.0,0.115,0.848,0.188,179.97,26,36898,4,4
5NbsOXZIXALtv4PIfeT8eR,Habibi,Bilal Sghir,5,0,4,260911,0.502,-7.1,0.87,0.0,0.311,0.863,0.0912,184.257,26,1504265,64,35
3BVrtEuoIkmE1qxW7xnMC7,Nti Rouhi Wana Rabi Ijibli,Kader Japonais,4,0,4,567586,0.356,-6.119,0.891,0.000452,0.982,0.638,0.158,171.713,26,13246678,2,2
